"","region","freq","count"
"1","alabama",202,27
"2","alaska",0,0
"3","arizona",149,25
"4","arkansas",312,37
"5","california",516,332
"6","colorado",79,35
"7","connecticut",91,9
"8","delaware",94,5
"9","florida",872,82
"10","georgia",381,79
"11","hawaii",0,0
"12","idaho",233,6
"13","illinois",329,85
"14","indiana",257,37
"15","iowa",256,22
"16","kansas",113,246
"17","kentucky",397,35
"18","louisiana",650,33
"19","maine",399,13
"20","maryland",566,49
"21","massachusetts",286,62
"22","michigan",830,32
"23","minnesota",373,17
"24","mississippi",382,10
"25","missouri",315,42
"26","montana",238,6
"27","nebraska",208,8
"28","nevada",70,36
"29","new hampshire",125,4
"30","new jersey",205,54
"31","new mexico",78,10
"32","new york",495,206
"33","north carolina",782,80
"34","north dakota",105,4
"35","ohio",238,107
"36","oklahoma",284,55
"37","oregon",236,24
"38","pennsylvania",172,102
"39","rhode island",66,2
"40","south carolina",304,25
"41","south dakota",166,4
"42","tennessee",289,60
"43","texas",1088,188
"44","utah",59,20
"45","vermont",129,4
"46","virginia",734,57
"47","washington",545,38
"48","west virginia",373,12
"49","wisconsin",388,31
"50","wyoming",68,1
