"","region","freq","count"
"1","alabama",202,0
"2","alaska",0,0
"3","arizona",149,1
"4","arkansas",312,2
"5","california",516,15
"6","colorado",79,2
"7","connecticut",91,4
"8","delaware",94,1
"9","florida",872,4
"10","georgia",381,7
"11","hawaii",0,0
"12","idaho",233,0
"13","illinois",329,2
"14","indiana",257,3
"15","iowa",256,0
"16","kansas",113,11
"17","kentucky",397,1
"18","louisiana",650,1
"19","maine",399,1
"20","maryland",566,3
"21","massachusetts",286,2
"22","michigan",830,1
"23","minnesota",373,1
"24","mississippi",382,0
"25","missouri",315,7
"26","montana",238,0
"27","nebraska",208,2
"28","nevada",70,3
"29","new hampshire",125,1
"30","new jersey",205,1
"31","new mexico",78,1
"32","new york",495,11
"33","north carolina",782,9
"34","north dakota",105,0
"35","ohio",238,7
"36","oklahoma",284,5
"37","oregon",236,3
"38","pennsylvania",172,9
"39","rhode island",66,1
"40","south carolina",304,0
"41","south dakota",166,0
"42","tennessee",289,2
"43","texas",1088,17
"44","utah",59,1
"45","vermont",129,0
"46","virginia",734,1
"47","washington",545,1
"48","west virginia",373,0
"49","wisconsin",388,2
"50","wyoming",68,0
