"","region","freq","count"
"1","alabama",202,1
"2","alaska",0,0
"3","arizona",149,4
"4","arkansas",312,2
"5","california",516,35
"6","colorado",79,5
"7","connecticut",91,4
"8","delaware",94,0
"9","florida",872,7
"10","georgia",381,16
"11","hawaii",0,0
"12","idaho",233,1
"13","illinois",329,4
"14","indiana",257,3
"15","iowa",256,8
"16","kansas",113,44
"17","kentucky",397,1
"18","louisiana",650,3
"19","maine",399,1
"20","maryland",566,6
"21","massachusetts",286,11
"22","michigan",830,7
"23","minnesota",373,4
"24","mississippi",382,1
"25","missouri",315,4
"26","montana",238,0
"27","nebraska",208,3
"28","nevada",70,5
"29","new hampshire",125,1
"30","new jersey",205,4
"31","new mexico",78,1
"32","new york",495,15
"33","north carolina",782,4
"34","north dakota",105,1
"35","ohio",238,12
"36","oklahoma",284,5
"37","oregon",236,0
"38","pennsylvania",172,4
"39","rhode island",66,0
"40","south carolina",304,0
"41","south dakota",166,1
"42","tennessee",289,3
"43","texas",1088,12
"44","utah",59,6
"45","vermont",129,2
"46","virginia",734,8
"47","washington",545,5
"48","west virginia",373,1
"49","wisconsin",388,4
"50","wyoming",68,0
